date,crop,price,temp,high_temp,low_temp,rain,wind,humidity,sunshine,sunlight,product,KRW/USD
2019-10-08,배추,17200,15.6,21.8,9.9,0.1,2.1,69.0,8.8,16.39,1859705.0,1193.24
2019-10-10,배추,15600,14.6,21.3,8.2,0.0,0.9,73.0,5.2,12.26,1859705.0,1190.06
2019-10-11,배추,15200,17.7,24.7,11.4,0.0,1.7,69.0,9.5,16.87,1859705.0,1195.61
2019-10-14,배추,14800,14.4,21.2,9.0,2.6,1.6,74.0,8.4,14.24,1859705.0,
2019-10-15,배추,14400,13.1,18.6,8.3,1.0,1.6,75.0,5.7,12.21,1859705.0,1184.67
2019-10-16,배추,15200,13.0,20.2,7.8,0.0,1.1,77.0,9.0,15.77,1859705.0,1186.38
2019-10-17,배추,16200,13.7,19.8,9.2,0.0,1.2,77.0,4.3,10.45,1859705.0,1179.05
2019-10-18,배추,16000,15.0,19.3,10.6,4.3,1.6,81.0,2.0,6.75,1859705.0,1181.06
2019-10-21,배추,15480,15.0,22.9,9.1,0.0,1.2,76.0,9.3,15.56,1859705.0,1172.57
2019-10-22,배추,15180,15.6,22.8,9.9,0.0,1.3,75.0,8.1,14.08,1859705.0,1170.49
2019-10-23,배추,14800,15.7,19.7,11.6,0.1,1.4,76.0,0.8,6.82,1859705.0,1172.07
2019-10-24,배추,14300,17.2,21.9,13.5,1.8,1.9,70.0,4.1,10.45,1859705.0,1173.19
2019-10-25,배추,14050,16.8,22.6,11.8,0.3,1.6,72.0,6.8,12.27,1859705.0,1171.58
2019-10-28,배추,12200,11.1,18.3,3.9,0.2,1.4,71.0,8.5,14.04,1859705.0,1170.17
2019-10-29,배추,12000,12.9,18.5,7.8,0.7,1.9,67.0,8.1,12.49,1859705.0,1163.03
2019-10-30,배추,12200,10.8,18.1,5.1,0.0,1.4,68.0,9.6,15.25,1859705.0,1167.76
2019-10-31,배추,11400,12.9,20.4,5.5,0.0,1.6,73.0,9.0,13.78,1859705.0,1169.1
2019-11-01,배추,10800,14.0,21.6,8.5,0.0,1.2,73.0,8.3,13.24,1859705.0,1165.45
2019-11-04,배추,9400,12.1,18.7,7.2,0.1,1.2,76.0,7.4,12.46,1859705.0,1159.29
2019-11-05,배추,9400,11.3,18.8,5.6,0.0,1.3,76.0,8.7,12.96,1859705.0,1157.64
2019-11-06,배추,9100,10.9,18.5,5.0,0.0,1.1,72.0,8.2,12.61,1859705.0,1156.73
2019-11-07,배추,8600,10.4,16.8,5.2,0.0,1.8,65.0,7.7,12.06,1859705.0,1154.44
2019-11-08,배추,8800,7.5,15.2,1.8,0.0,1.4,59.0,9.0,13.31,1859705.0,1157.14
2019-11-11,배추,9100,11.7,16.7,7.4,1.0,2.2,74.0,6.0,8.83,1859705.0,
2019-11-12,배추,9100,9.2,16.3,4.3,0.0,1.1,75.0,6.9,10.12,1859705.0,1160.8
2019-11-13,배추,9100,8.6,13.5,3.3,2.7,1.8,75.0,0.9,3.81,1859705.0,1167.76
2019-11-14,배추,9300,3.3,8.4,-1.1,0.0,2.7,44.0,8.9,13.84,1859705.0,1169.82
2019-11-15,배추,10000,6.8,13.5,-1.5,3.3,1.7,71.0,5.5,8.12,1859705.0,1166.98
2019-11-18,배추,11000,8.4,16.2,3.0,12.8,3.6,65.0,3.3,7.02,1859705.0,1163.76
2019-11-19,배추,11000,3.3,6.8,0.1,0.1,2.7,57.0,7.0,10.61,1859705.0,1167.13
2019-11-20,배추,11000,2.2,8.7,-2.5,0.0,1.5,54.0,9.1,13.02,1859705.0,1169.8
2019-11-21,배추,10600,4.7,12.1,-3.0,0.0,1.1,55.0,6.9,10.15,1859705.0,1175.71
2019-11-22,배추,10200,8.9,17.3,2.4,0.0,1.3,65.0,8.7,11.54,1859705.0,1179.33
2019-11-25,배추,9500,5.7,10.6,3.1,2.7,2.5,70.0,1.9,5.57,1859705.0,1173.09
2019-11-26,배추,9300,7.5,13.4,2.2,0.3,1.3,73.0,6.3,10.17,1859705.0,1175.59
2019-11-27,배추,8900,6.0,9.5,2.4,0.8,2.0,64.0,3.7,7.43,1859705.0,1176.89
2019-11-28,배추,9400,4.6,10.4,0.1,2.3,1.5,73.0,5.2,8.48,1859705.0,
2019-11-29,배추,9500,3.1,9.8,-1.5,0.0,1.4,63.0,8.5,11.6,1859705.0,1181.33
2019-12-02,배추,9600,3.3,6.7,-0.1,0.2,3.1,57.0,7.3,10.23,1859705.0,1182.84
2019-12-03,배추,9200,2.0,6.4,-3.1,0.4,1.7,68.0,5.3,7.64,1859705.0,1190.31
2019-12-04,배추,9800,3.9,9.2,-0.6,0.1,1.5,63.0,7.8,10.47,1859705.0,1194.45
2019-12-05,배추,9900,0.0,4.6,-4.7,0.0,2.6,47.0,8.6,11.24,1859705.0,1189.23
